dir	example	argv	variant	status	exit	seconds	stdout_bytes	stdout_sha256
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_MCLACHLAN_3_3 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_MCLACHLAN_3_3_--tf_50_--check-order_--nout_1	OK	0	0.206	8196	a3b418c681b80e72
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_MCLACHLAN_4_4 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_MCLACHLAN_4_4_--tf_50_--check-order_--nout_1	OK	0	0.206	8205	a0bb513df758cb4a
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_MCLACHLAN_5_6 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_MCLACHLAN_5_6_--tf_50_--check-order_--nout_1	OK	0	0.206	8198	4f797b5be52be13f
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_PSEUDO_LEAPFROG_2_2 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_PSEUDO_LEAPFROG_2_2_--tf_50_--check-order_--nout_1	OK	0	2.510	8309	66811757a44a5671
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_RUTH_3_3 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_RUTH_3_3_--tf_50_--check-order_--nout_1	OK	0	0.206	8200	494e5a4cc7aaec57
arkode/C_serial	ark_kepler	--stepper SPRK --step-mode fixed --method ARKODE_SPRK_YOSHIDA_6_8 --tf 50 --check-order --nout 1	ark_kepler__--stepper_SPRK_--step-mode_fixed_--method_ARKODE_SPRK_YOSHIDA_6_8_--tf_50_--check-order_--nout_1	OK	0	0.207	8203	93e302e956a2cc12
arkode/C_serial	ark_kepler		ark_kepler	OK	0	0.106	5036	e524ae31f2839470
arkode/C_serial	ark_kpr_mri	0 1 0.005	ark_kpr_mri__0_1_0.005	OK	0	0.606	3586	7e9c0b1d9fbb2e55
arkode/C_serial	ark_kpr_mri	1 0 0.01	ark_kpr_mri__1_0_0.01	OK	0	0.106	3459	4927daebc4c37644
arkode/C_serial	ark_kpr_mri	1 1 0.002	ark_kpr_mri__1_1_0.002	OK	0	1.207	3596	c7f247fb227f4771
arkode/C_serial	ark_kpr_mri	2 4 0.002	ark_kpr_mri__2_4_0.002	OK	0	0.906	3474	9855a099fa1ad12e
arkode/C_serial	ark_kpr_mri	3 2 0.001	ark_kpr_mri__3_2_0.001	OK	0	1.307	3481	5f8a21c9a555cb19
arkode/C_serial	ark_kpr_mri	4 3 0.001	ark_kpr_mri__4_3_0.001	OK	0	2.609	3466	2c5ab50e08ab0b0c
